James Aspnes
Abhishek Bhattacharjee
Yang Cai
Arman Cohan
Yongshan Ding
Julie Dorsey
Joan Feigenbaum
Ben Fisch
Michael Fischer
Tesca Fitzgerald
David Gelernter
Anurag Khandelwal
Theodore Kim
Smita Krishnaswamy
Charalampos Papamanthou
Ruzica Piskac
Daniel Rakita
Vladimir Rokhlin
Holly Rushmeier
Brian Scassellati
Zhong Shao
Abraham Silberschatz
Aikaterini Sotiraki
Robert Soulé
Dan Spielman
Marynel Vázquez
Nisheeth Vishnoi
Andre Wibisono
Alex Wong
Y. Richard Yang
Zhitao Ying
Emmanouil Zampetakis
Fan Zhang
Lin Zhong
Steven Zucker
